Sl No,Emplid,Campus ID,QUIZ 1
499,41120250463,2025A8PS0463H,6
500,41120250469,2025A8PS0469H,2
501,41120250498,2025A8PS0498H,2
502,41120250507,2025A8PS0507H,6
503,41120250509,2025A8PS0509H,4
504,41120250510,2025A8PS0510H,20
505,41120250566,2025A8PS0566H,0
506,41120250567,2025A8PS0567H,0
507,41120250568,2025A8PS0568H,2
508,41120250571,2025A8PS0571H,0
509,41120250603,2025A8PS0603H,4
510,41120250611,2025A8PS0611H,14
511,41120250612,2025A8PS0612H,4
512,41120250624,2025A8PS0624H,10
513,41120250773,2025A8PS0773H,4
514,41120250777,2025A8PS0777H,0
515,41120250803,2025A8PS0803H,6
516,41120250813,2025A8PS0813H,6
517,41120250904,2025A8PS0904H,0
518,41120250919,2025A8PS0919H,0
519,41120251041,2025A8PS1041H,2
520,41120251075,2025A8PS1075H,18
521,41120251080,2025A8PS1080H,0
522,41120251228,2025A8PS1228H,2
523,41120251273,2025A8PS1273H,0
524,41120251274,2025A8PS1274H,0
525,41120251309,2025A8PS1309H,4
526,41120251329,2025A8PS1329H,8
527,41120251355,2025A8PS1355H,0
528,41120251356,2025A8PS1356H,2
529,41120251357,2025A8PS1357H,
530,41120251358,2025A8PS1358H,0
531,41120251464,2025A8PS1464H,0
532,41120251491,2025A8PS1491H,0
533,41120251492,2025A8PS1492H,12
534,41120252038,2025A8PS2038H,4
535,41120252057,2025A8PS2057H,4
536,41120252063,2025A8PS2063H,4
537,41120253004,2025AAMM3004H,6
538,41120250165,2025AAPS0165H,2
539,41120250166,2025AAPS0166H,6
540,41120250167,2025AAPS0167H,2
541,41120250168,2025AAPS0168H,4
542,41120250169,2025AAPS0169H,4
543,41120250170,2025AAPS0170H,12
544,41120250173,2025AAPS0173H,6
545,41120250174,2025AAPS0174H,8
546,41120250177,2025AAPS0177H,8
547,41120250178,2025AAPS0178H,2
548,41120250183,2025AAPS0183H,10
549,41120250184,2025AAPS0184H,8
550,41120250188,2025AAPS0188H,2
551,41120250197,2025AAPS0197H,20
552,41120250198,2025AAPS0198H,6
553,41120250199,2025AAPS0199H,0
554,41120250204,2025AAPS0204H,0
555,41120250206,2025AAPS0206H,6
556,41120250207,2025AAPS0207H,0
557,41120250208,2025AAPS0208H,16
558,41120250209,2025AAPS0209H,
559,41120250211,2025AAPS0211H,4
560,41120250213,2025AAPS0213H,4
561,41120250215,2025AAPS0215H,0
562,41120250222,2025AAPS0222H,10
563,41120250224,2025AAPS0224H,2
564,41120250226,2025AAPS0226H,10
565,41120250227,2025AAPS0227H,2
566,41120250230,2025AAPS0230H,0
567,41120250231,2025AAPS0231H,6
568,41120250235,2025AAPS0235H,4
569,41120250236,2025AAPS0236H,16
570,41120250237,2025AAPS0237H,0
571,41120250238,2025AAPS0238H,12
572,41120250240,2025AAPS0240H,10
573,41120250243,2025AAPS0243H,2
574,41120250244,2025AAPS0244H,8
575,41120250246,2025AAPS0246H,10
576,41120250248,2025AAPS0248H,0
577,41120250249,2025AAPS0249H,2
578,41120250250,2025AAPS0250H,0
579,41120250251,2025AAPS0251H,10
580,41120250252,2025AAPS0252H,6
581,41120250253,2025AAPS0253H,2
582,41120250254,2025AAPS0254H,0
583,41120250255,2025AAPS0255H,
584,41120250256,2025AAPS0256H,2
585,41120250257,2025AAPS0257H,6
586,41120250258,2025AAPS0258H,2
587,41120250259,2025AAPS0259H,16
588,41120250260,2025AAPS0260H,2
589,41120250261,2025AAPS0261H,2
590,41120250263,2025AAPS0263H,2
591,41120250264,2025AAPS0264H,2
592,41120250265,2025AAPS0265H,0
593,41120250266,2025AAPS0266H,12
594,41120250267,2025AAPS0267H,6
595,41120250268,2025AAPS0268H,4
596,41120250269,2025AAPS0269H,4
597,41120250270,2025AAPS0270H,2
598,41120250271,2025AAPS0271H,0
599,41120250273,2025AAPS0273H,2
600,41120250275,2025AAPS0275H,4
601,41120250276,2025AAPS0276H,2
602,41120250278,2025AAPS0278H,2
603,41120250279,2025AAPS0279H,0
604,41120250280,2025AAPS0280H,0
605,41120250282,2025AAPS0282H,2
606,41120250283,2025AAPS0283H,4
607,41120250285,2025AAPS0285H,6
608,41120250286,2025AAPS0286H,2
609,41120250287,2025AAPS0287H,0
610,41120250288,2025AAPS0288H,20
611,41120250289,2025AAPS0289H,8
612,41120250290,2025AAPS0290H,2
613,41120250291,2025AAPS0291H,0
614,41120250292,2025AAPS0292H,0
615,41120250293,2025AAPS0293H,0
616,41120250295,2025AAPS0295H,0
617,41120250296,2025AAPS0296H,12
618,41120250298,2025AAPS0298H,0
619,41120250299,2025AAPS0299H,2
620,41120250300,2025AAPS0300H,0
621,41120250301,2025AAPS0301H,6
622,41120250303,2025AAPS0303H,8
